
0       0       1
1       0.108108        1.03015
2       0.216216        0.512101
3       0.324324        -0.424982
4       0.432432        -1.3649
5       0.540541        -1.72153
6       0.648649        -0.998564
7       0.756757        0.896085
8       0.864865        3.43519
9       0.972973        5.51718
10      1.08108 5.85112
11      1.18919 3.6035
12      1.2973  -0.949716
13      1.40541 -6.12899
14      1.51351 -9.22474
15      1.62162 -7.59904
16      1.72973 -0.192768
17      1.83784 11.2424
18      1.94595 21.9887
19      2.05405 25.8064
20      2.16216 17.8148
21      2.27027 -2.22356
22      2.37838 -27.8916
23      2.48649 -47.0225
24      2.59459 -46.1919
25      2.7027  -17.7315
26      2.81081 33.6458
27      2.91892 88.4794
28      3.02703 117.502
29      3.13514 94.072
30      3.24324 10.1662
31      3.35135 -111.597
32      3.45946 -218.237
33      3.56757 -243.821
34      3.67568 -141.172
35      3.78378 84.1132
36      3.89189 355.454
37      4       539.492
38      4.10811 497.853
39      4.21622 162.66
40      4.32432 -396.923
41      4.43243 -958.022
42      4.54054 -1206.78
43      4.64865 -877.42
44      4.75676 79.3657
45      4.86486 1381.25
46      4.97297 2438.36
47      5.08108 2559.4
48      5.18919 1298.03
49      5.2973  -1197.96
50      5.40541 -4029.2
51      5.51351 -5744.73
52      5.62162 -4931.96
53      5.72973 -1023.75
54      5.83784 5041.89
55      5.94595 10738.7
56      6.05405 12725.2
57      6.16216 8388.02
58      6.27027 -2400.14
59      6.37838 -16203
60      6.48649 -26505.2
61      6.59459 -26118.1
62      6.7027  -10935.6
63      6.81081 16518.7
64      6.91892 45823.8
65      7.02703 61307.3
66      7.13514 48703
67      7.24324 3714.41
68      7.35135 -61546.3
69      7.45946 -118709
70      7.56757 -132467
71      7.67568 -77557.1
72      7.78378 43023.5
73      7.89189 188267
74      8       286759
